parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
Macadamia Roasted Salted - Size 1,D: Pack-only,1,Macadamia Roasted - Size 1,rm,,1,1,Factory,Final FG (Sorting+Packing)
Macadamia Roasted Salted - Size 1,D: Pack-only,2,"PM24-Vacuum Pouch For 1 Kg- 210 x 305mm, 16G - 90 Micron (Solimo) 1000 gm",pm,,1,1,Factory,Final FG (packing)
Macadamia Roasted Salted - Size 1,D: Pack-only,3,Refined Fine Powder Iodized Salt Prime,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
MACSNACK DRYRST MCADAMIAMUNCHIE 100G PCH,,1,Macadamia Roasted & Salted style 4,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
MACSNACK DRYRST MCADAMIAMUNCHIE 100G PCH,,2,PM24-Mac Snack Dry Roasted Macadamia Munchies Pouches (Assorted Skus) 100 gm,pm,,1,1,Factory,Final FG (packing)
MACSNACK DRYRST MCADAMIAMUNCHIE 200G PCH,,1,Macadamia Roasted - Size 4,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
MACSNACK DRYRST MCADAMIAMUNCHIE 200G PCH,,2,PM24-Mac Snack Dry Roasted Macadamia Muchies Pouch (Assorted) 200 gm,pm,,1,1,Factory,Final FG (packing)
MACSNACK DRYRST MCADAMIAMUNCHIE 200G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
MACSNACK R&S MACADAMIA MUNCHIES 100G PCH,,1,Macadamia Roasted Salted - Size 4,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
MACSNACK R&S MACADAMIA MUNCHIES 100G PCH,,2,PM24-Mac Snack Dry Roasted Macadamia Munchies Pouches (Assorted Skus) 100 gm,pm,,1,1,Factory,Final FG (packing)
MACSNACK R&S MACADAMIA MUNCHIES 100G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.01,1,Factory,Final FG (packing)
MACSNACK R&S MACADAMIA MUNCHIES 200G PCH,,1,Macadamia Roasted Salted - Size 4,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
MACSNACK R&S MACADAMIA MUNCHIES 200G PCH,,2,PM24-Mac Snack Dry Roasted Macadamia Muchies Pouches (Assorted Skus) 200 gm,pm,,1,1,Factory,Final FG (packing)
MACSNACK R&S MACADAMIA MUNCHIES 200G PCH,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.02,1,Factory,Final FG (packing)
Makhana Black Pepper,B: Transform->Pack (in-line),1,Makhana 5 Suta,rm,,0.9,1,Factory,Create WIP
Makhana Black Pepper,B: Transform->Pack (in-line),2,Black Pepper Seasoning,rm,,0.1,1,Factory,Create WIP
Makhana Black Salt 75gm,B: Transform->Pack (in-line),1,Roasted Makhana,fg,,0.075,1,Factory,Create WIP
Makhana Black Salt 75gm,B: Transform->Pack (in-line),2,SUNFLOWER OIL,rm,,0.007,1,Factory,Create WIP
Makhana Black Salt 75gm,B: Transform->Pack (in-line),3,"Black Salt, Kala Namak - Crystal",rm,,0.0027,1,Factory,Create WIP
Makhana Black Salt 75gm,B: Transform->Pack (in-line),4,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Makhana Chilli Lime 75gm,B: Transform->Pack (in-line),1,Roasted Makhana,fg,,0.075,1,Factory,Create WIP
Makhana Chilli Lime 75gm,B: Transform->Pack (in-line),2,SUNFLOWER OIL,rm,,0.011,1,Factory,Create WIP
Makhana Chilli Lime 75gm,B: Transform->Pack (in-line),3,Lime Chilli Seasoning,rm,,0.0143,1,Factory,Create WIP
Makhana Chilli Lime 75gm,B: Transform->Pack (in-line),4,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Makhana Himalayan Pink Salt,B: Transform->Pack (in-line),1,Roasted Makhana,fg,,1,1,Factory,Create WIP
Makhana Himalayan Pink Salt,B: Transform->Pack (in-line),2,SUNFLOWER OIL,rm,,0.15,1,Factory,Create WIP
Makhana Himalayan Pink Salt,B: Transform->Pack (in-line),3,Black Pepper Seasoning,rm,,0.06,1,Factory,Create WIP
Makhana Himalayan Pink Salt,B: Transform->Pack (in-line),4,Pink Salt.,rm,,0.036,1,Factory,Create WIP
Makhana Himalayan Pink Salt 75gm,D: Pack-only,1,Makhana Himalayan Pink Salt,fg,,0.075,1,Factory,Final FG (Sorting+Packing)
Makhana Himalayan Pink Salt 75gm,D: Pack-only,2,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Makhana Masala,B: Transform->Pack (in-line),1,Makhana 5 Suta,rm,,0.93,1,Factory,Create WIP
Makhana Masala,B: Transform->Pack (in-line),2,Masala Seasoning,rm,,0.07,1,Factory,Create WIP
Makhana Peri Peri,B: Transform->Pack (in-line),1,Makhana 5 Suta,rm,,0.92,1,Factory,Create WIP
Makhana Peri Peri,B: Transform->Pack (in-line),2,Peri Peri Marination Seasoning,rm,,0.08,1,Factory,Create WIP
Makhana Salted 50gm,,1,Makhana,rm,,0.05,1,Factory,Final FG (Sorting+Packing)
Makhana Salted 50gm,,2,PM24 - Makhana Pet 55 gm,pm,,1,1,PM Store,Final FG (packing)
Makhana Tangy Tomato 75gm,D: Pack-only,1,Roasted Makhana,fg,,0.075,1,Factory,Final FG (Sorting+Packing)
Makhana Tangy Tomato 75gm,D: Pack-only,2,SUNFLOWER OIL,rm,,0.011,1,Factory,Final FG (Sorting+Packing)
Makhana Tangy Tomato 75gm,D: Pack-only,3,TANGY TOMATO SEASONING,rm,,0.0135,1,Factory,Final FG (Sorting+Packing)
Makhana Tangy Tomato 75gm,D: Pack-only,4,PM24-3 Ply Carton CF21 Walnut Carton (445X310X305MM)-Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Masala Cashew,B: Transform->Pack (in-line),1,Cashew 320,rm,,0.98,1,Factory,Create WIP
Masala Cashew,B: Transform->Pack (in-line),2,Masala Seasoning,rm,,0.04,1,Factory,Create WIP
Masala Raisin,D: Pack-only,1,Indian Green Raisins,rm,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,1,Stuffed Medjoul Large Pc with Almond,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,2,Stuffed Medjoul Large Pc with Pista,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,3,Stuffed Medjoul Large Pc with Dried Pomelo,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,4,Stuffed Medjoul Large Pc with Hazel Nut,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,5,Stuffed Medjoul Large Pc with Orange Peel,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,6,Stuffed Medjoul Large Pc with Pecan Nut,fg,,1,1,Factory,Final FG (Sorting+Packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,7,"PM24-Hamper-Mdf Printed Box 11 x 11-Radha Krishan, Gateway Of India N Elephant ( Premium Dates Box)",pm,,1,1,Factory,Final FG (packing)
MDF Premium Medjoul Dates Box 18 Pcs,D: Pack-only,8,PM24- 5 Ply CF21 Walnut Carton unprinted,pm,,0.1,1,Factory,Final FG (packing)
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),1,American Almonds Tukda,rm,,0.002,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),2,Cashew Tukda,rm,,0.001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),3,Blanched white Peanut Kernels,rm,,0.001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),4,Pista Kernel,rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),5,COCONUT POWDER,rm,,0.001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),6,KHUS KHUS / POPPY SEEDS,rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),7,Muskmelon Seeds,rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),8,Methi,rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),9,Acacia Gum - Dink/ Gundar,rm,,0.002,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),10,Wheat Aata (Wheat Flour)- TPL - 5%,rm,,0.003,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),11,SHAHI JEERA (CUMIN SEEDS),rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),12,Cardamom Powder,pm,,0.0001,1,Factory,Final FG (packing)
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),13,Dried Ginger Powder - Saunth Powder,rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),14,White Pepper (White Miri),rm,,0.0001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),15,AL Barakah Date Paste,rm,,0.014,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),16,Jaggery Powder 0%,rm,,0.002,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),17,Desi Ghee,rm,,0.001,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),18,AL BARAKAH FARD DATES STANDARD,rm,,0.007,1,Factory,Create WIP
Methi Dryfruit Laddu bar 35gm,B: Transform->Pack (in-line),19,PM24-Mama Nourish Methi Bar Pouch 35 gm Digital,pm,,0.002,1,Factory,Final FG (packing)
Mexican Coated Peanuts 60gm,,1,Mexican Flavoured Coated Peanuts Bulk,rm,,0.06,1,Factory,Final FG (Sorting+Packing)
Mexican Flavoured Coated Peanuts 35gm,,1,Mexican Flavoured Coated Peanuts Bulk,rm,,0.035,1,Factory,Final FG (Sorting+Packing)
Mexican Flavoured Coated Peanuts Bulk,,1,Coated Peanut Base,fg,,0.89,1,Factory,Final FG (Sorting+Packing)
Mexican Flavoured Coated Peanuts Bulk,,2,SUNFLOWER OIL,rm,,0.037,1,Factory,Final FG (Sorting+Packing)
Mexican Flavoured Coated Peanuts Bulk,,3,Mexican Chilli Seasoning (PR01027/001),rm,,0.073,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED ALMOND STUFFED KHALAS 1 Kg,,1,Wet Dates Seedless Khalas,rm,,0.63,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED ALMOND STUFFED KHALAS 1 Kg,,2,American Almonds Running 25-27 count,rm,,0.11,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED ALMOND STUFFED KHALAS 1 Kg,,3,Dark Compound Chocolate,rm,,0.26,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED CASHEW STUFFED KHALAS 1 Kg,,1,Wet Dates Seedless Khalas,rm,,0.627,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED CASHEW STUFFED KHALAS 1 Kg,,2,Cashew 400,rm,,0.116,1,Factory,Final FG (Sorting+Packing)
MIE DARK CHOCOLATE COATED CASHEW STUFFED KHALAS 1 Kg,,3,Dark Compound Chocolate,rm,,0.257,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Almonds,,1,American Almonds Running 25-27 count,rm,,0.88,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Almonds,,2,Pure Maple Syrup,rm,,0.105,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Almonds,,3,Chilli Powder,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Cashew,,1,Cashew 320,rm,,0.88,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Cashew,,2,Pure Maple Syrup,rm,,0.105,1,Factory,Final FG (Sorting+Packing)
Mild Chilly Glazed Cashew,,3,Chilli Powder,rm,,0.015,1,Factory,Final FG (Sorting+Packing)
Milk Almond Draggies,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.3318,1,Factory,Create WIP
Milk Almond Draggies,B: Transform->Pack (in-line),2,Milk Compound Chocolate,rm,,0.6636,1,Factory,Create WIP
Milk Almond Draggies,B: Transform->Pack (in-line),3,CAPOL 254N,rm,,0.0023,1,Factory,Create WIP
Milk Almond Draggies,B: Transform->Pack (in-line),4,CAPOL 425M,rm,,0.0023,1,Factory,Create WIP
Milk Almond Draggies,B: Transform->Pack (in-line),5,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Milk Chocolate Coated Almond Stuffed Khalas Single,,1,Wet Dates Khalas,rm,,0.0085,1,Factory,Final FG (Sorting+Packing)
Milk Chocolate Coated Almond Stuffed Khalas Single,,2,American Almonds Running 25-27 count,rm,,0.001,1,Factory,Final FG (Sorting+Packing)
Milk Chocolate Coated Almond Stuffed Khalas Single,,3,Milk Compound Chocolate,rm,,0.002,1,Factory,Final FG (Sorting+Packing)
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0025,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),2,Wet Dates Seedless Khalas,rm,,0.0025,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),3,Desi Ghee,rm,,0.0006,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0005,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),5,American Almonds Tukda,rm,,0.0011,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),6,Cashew Tukda,rm,,0.0011,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),7,Rice Crispy,rm,,0.0003,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),8,Indian Green Raisins,rm,,0.0004,1,Factory,Create WIP
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),9,Cardamom Powder,pm,,0.0004,1,Factory,Final FG (packing)
Milk Chocolate Coated Date Bites,B: Transform->Pack (in-line),10,MILK CHOCOLATE COUVERTURE 823,rm,,0.0015,1,Factory,Create WIP
Milk Chocolate Macadamia Clusters 100gm,,1,Macadamia Milk Chocolate Clusters,fg,,0.1,1,Factory,Final FG (Sorting+Packing)
Milk Chocolate Macadamia Clusters 100gm,,2,PM24-Australia Macadamia Milk Chocolate Clusters  Pouch,pm,,1,1,PM Store,Final FG (packing)
Milk Chocolate Macadamia Clusters 100gm,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.021,1,PM Store,Final FG (packing)
Millennium Nut Mix,D: Pack-only,1,Millennium Nut Mix,fg,,1,1,Factory,Final FG (Sorting+Packing)
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),1,Orange Slice / Pieces,rm,,0.1,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),2,Dried Cranberry Sliced,rm,,0.2,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),3,Choco Chips,rm,,0.2,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),4,Diced Almond,rm,,0.25,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),5,Pecan Nuts,rm,,0.15,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),6,Hazelnut Kernal,rm,,0.1,1,Factory,Create WIP
Mocha Mojo Trail Mix,B: Transform->Pack (in-line),7,COFFEE EXT AQU ALC - 4010000239,rm,,0.02,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0043,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0013,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.001,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0008,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),5,Banana flavour (241114) NATURAL,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),6,OATS,rm,,0.0009,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),7,Rice Crispy - 18%,rm,,0.0005,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),8,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),9,Black Chia Seeds,rm,,0.0004,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),10,PM24-Moonfreeze-Banana,pm,,0.001,1,PM Store,Final FG (packing)
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0194,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0056,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.0045,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0036,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),5,Banana flavour (241114) NATURAL,rm,,0.0003,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),6,OATS,rm,,0.0041,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),7,Rice Crispy,rm,,0.002,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),8,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),9,Black Chia Seeds,rm,,0.0019,1,Factory,Create WIP
Moon Freeze Banana Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),10,PM24-Moonfreeze-Banana,pm,,0.0015,1,PM Store,Final FG (packing)
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),1,AL BARAKAH DATE PASTE (1 KG packing),rm,,0.0043,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),2,American Almonds Running 25-27 count,rm,,0.0013,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.001,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0008,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),5,Dried Mango Loose,rm,,0.0008,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),6,Mango Flavour 291018,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),7,OATS,rm,,0.0009,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),8,Rice Crispy - 18%,rm,,0.0005,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),9,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),10,Black Chia Seeds,rm,,0.0004,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 10 GM,B: Transform->Pack (in-line),11,PM24-Moonfreeze-Mango,pm,,0.001,1,PM Store,Final FG (packing)
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0194,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0056,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.0036,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),4,Mango Flavour 291018,rm,,0.0003,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),5,OATS,rm,,0.0041,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),6,Rice Crispy,rm,,0.002,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),7,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),8,Black Chia Seeds,rm,,0.0019,1,Factory,Create WIP
Moon Freeze Mango Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),9,PM24-Moonfreeze-Mango,pm,,0.0015,1,Factory,Final FG (packing)
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0194,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0056,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.0045,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0036,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),5,Dried Pineapple,rm,,0.0036,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),6,Natural Pineapple Falvour 170914,rm,,0.0003,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),7,OATS,rm,,0.0041,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),8,Rice Crispy,rm,,0.002,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),9,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),10,Black Chia Seeds,rm,,0.0019,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),11,PM24-Moonfreeze-Pineapple,pm,,0.0015,1,PM Store,Final FG (packing)
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),1,AL BARAKAH DATE PASTE (1 KG packing),rm,,0.0043,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0013,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.001,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.0008,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),5,DEHYDRATED PINEAPPLE RING,rm,,0.0008,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),6,Natural Pineapple Falvour 170914,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),7,OATS,rm,,0.0009,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),8,Rice Crispy - 18%,rm,,0.0005,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),9,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),10,Black Chia Seeds,rm,,0.0004,1,Factory,Create WIP
Moon Freeze Pineapple Date Fruit Bar -10 GM,B: Transform->Pack (in-line),11,PM24-Moonfreeze-Pineapple,pm,,0.001,1,PM Store,Final FG (packing)
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),1,AL Barakah Date Paste,rm,,0.0194,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0056,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),3,Cashew Tukda,rm,,0.0045,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),4,Pumpkin Seed ( 5% ),rm,,0.0036,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),5,Strawberry Flavour 260323,rm,,0.0003,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),6,OATS,rm,,0.0041,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),7,Rice Crispy,rm,,0.002,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),8,NASURE 19,rm,,0.0001,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),9,Black Chia Seeds,rm,,0.0019,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar - 45 Gm,B: Transform->Pack (in-line),10,PM24-Moonfreeze-Strawberry,pm,,0.002,1,Factory,Final FG (packing)
Moon Freeze Strawberry Date Fruit Bar -10 GM,B: Transform->Pack (in-line),1,AL BARAKAH DATE PASTE (1 KG packing),rm,,0.0043,1,Factory,Create WIP
Moon Freeze Strawberry Date Fruit Bar -10 GM,B: Transform->Pack (in-line),2,American Almonds Tukda,rm,,0.0013,1,Factory,Create WIP
